question,answer,question_type,skills,answer_type
What were the font-versions that were available from Core fonts for the Web project published in 2000?,The font-versions that were available from Core fonts for the Web project were 2.x (e.g. 2.82 for Arial\,Composition,No skill,Person
In what films has Shruti Haasan made a cameo appearance?,Shruti Haasan made a cameo appearance in Tamil-Hindi bilingual directorial Hey Ram (2000).,Simple,Filtering time,Date
On the Assyrian King List\, for whom is Sargon the son and successor of and for whom is he the father and predecessor of?,Simple,No skill,Person
How many Stanley Cup championships did Toronto Maple Leafs and Montreal Canadiens win?,The Toronto Maple Leafs has won thirteen Stanley Cup championships\,Simple,Counting,Person
What were the first and final Copa América matches played at Elías Aguirre?,The game that opened the Elías Aguirre's participation in this tournament was a group stage 2–2 draw between Mexico and Uruguay\,Simple,Ordinal,Person
How many numbers do the NSR H class have?,NSR H class were numbered twice in LMS\,Simple,Counting,Person
What awards did the album Mirotic win?,Mirotic won the Album of the Year at the Golden Disk Awards\,Simple,No skill,Person
Which leagues did Ivor Evans play in during his career?,During his career\,Simple,No skill,Person
Did any Reading RF players join new teams on February 8\, 2012?,Simple,Filtering time,Date
What records did Usain Bolt hold in the Men's 200 metre race prior to 2009?,Bolt had a record of 19.30 seconds in the Men's 200 metres.,Simple,No skill,Person
What was Hilary Devey doing as a presenter role in 2012?,In 2012\,Simple,Filtering time,Date
Which sets of partners were the first and second runners-up in U.S. Season 27 of Dancing with the Stars?,Actress and activist Evanna Lynch with Keo Motsepe and model and social media personality Alexis Ren with Alan Bersten were the first and second runners-up\,Composition,Ordinal;Filtering entity,Person
How did Sotherton do in the Shot Put and in the 200 meter race?,Sotherton scored a season's best of 14.14 m in the shot put and a personal best in the 200 m\,Intersection,No skill,Person
How many infiltrations occured at the Jordanian border in 2015 and how many people were involved?,There were 85 infiltrations at the Jordanian border in 2015 involving 132 people.,Intersection,Counting,Date
What records does Park hold in the 4x4x4 category?,Park holds the world records for single and average of five 4x4x4 solves: 18.42 seconds and 21.13 seconds\,Simple,No skill,Person
When was the second time that Akron Wingfoots won the AAU championship?,Akron Wingfoots won the AAU championship again in 1967.,Composition,Ordinal;Filtering time,Date
When was Groningen built and put into service?,Groningen was laid down on 9 April 2010\,Simple,Filtering time,Date
Who were the team leaders in passing\, rushing\,Simple,No skill,Unknown
How did the Reform Party's candidate perform in Florida in the 2004 presidential election?,In 2004\,Simple,Filtering time,Date
Which singles did Kazaky release in 2014 and who shot the music video for the last one?,In 2014\,Intersection,Ordinal,Date
What were the enrollment numbers for Dr. Samuel L. Banks High School between 2006 and 2007?,In 2006–2007\,Simple,Filtering time,Date
What was England's total score against the West Indies?,England made 254 with Roberts taking 5-wicket in the match (5-63).,Simple,Aggregation,Person
Who were the players in the championship?,Players in the World Chess Championship were: Max Euwe (from the Netherlands)\,Simple,No skill,Person
What kind of ships can be accommodated by the shipyard's building ways?,Admiralty\,Simple,Filtering time,Unknown
What was the fourth highest grossing Bollywood film of 1969?,Bandhan\,Simple,Superlative,Unknown
What were the biggest operators by percentage?,The biggest operator is IPKO with 51.21% followed by PTK with 25.43% and Kujtesa with 19.08%.,Simple,No skill,Person
