question,sparql
"Who is the current president of Brigham Young University-Hawaii (BYU-Hawaii), and what number president is he overall?",select distinct ?uri where [ ?uri dbr:Brhamham_YEAR(?uri ) dbo:position_held ?uri ]
How jumboized was the tanker T3-S2-A3?,select distinct ?uri where [ ?uri dbr:T3-S2-A3 dbo:jumboized ?uri ]
"How many appearances did Michael McIndoe make for Doncaster Rovers, and how many goals did he score?",select ?obj where [ dbr:Michael_McIndoe dbo:present_in_work ?obj . ?obj dbo:point_in_time ?obj ] order BY DESC(?obj)limit 5
What role did Toby Hemingway play in The Covenant in 2006?,select distinct ?obj where [ dbr:Toby_Hemingway dbo:member_of_the_Convent ?obj . ?obj dbo:member_of_the_Convent dbo:member_of_The_Convent ]
With which team did Frank de Boer spend 5 years and with which other teams did he have short spells?,select distinct ?uri where [ ?uri dbr:Frank_de_Boer dbo:member_of_sports_team ?uri . ?uri dbo:member_of_sports_team ?uri ]
What were the highlights of the second match at the 2012–13 Momentum One Day Cup?,select distinct ?obj where [ dbr:2012–13_Momentum_One_Day_Cup dbo:significant_event ?obj ]
What was La Tahzan nominated for at the 2014 Indonesian Movie Awards?,select distinct ?obj where [ dbr:La_Tahzan dbo:nominated_for ?obj . ?obj dbo:nominated_for dbo:Award_for_2014_Indonesian_Movie_Awards ]
"Who coached the Nebraska Cornhuskers from 1896-1898, and how did they do?",select ?obj where [ dbr:Nebraska_Cornhuskers dbo:coached_by ?obj . ?obj dbo:start_time ?obj ]
Which top flight First Division teams were most recently in the Premier League?,select distinct ?uri where [ ?uri dbr:First_Division_team dbo:member_of_sports_team ?uri . ?uri dbo:member_of_sports_team dbo:member_of_sports_team ]
What events were included in the 1923 Women's World Games?,select distinct ?uri where [ ?uri dbr:1923_Women's_World_Games dbo:event ?uri ]
Did Abdallah Salem el-Badri serve as secretary general of OPEC?,ask where [ dbr:Abdallah_Saladallah_Saladri dbo:secretary_general_of_Operation dbo:position ]
What films did Muthiah work in 2008 and 2009 and who directed them?,select ?obj where [ dbr:Muthiah dbo:film ?obj . ?obj dbo:film ?obj . ?obj dbo:film r:2008_2009_Royal ]
What was the outcome of the 1967 Japanese general election?,select distinct ?obj where [ dbr:Japan_General_Election dbo:issue ?obj ]
What club did Brown Ideye move to in2017?,select distinct ?obj where [ dbr:Bobby_Ideye dbo:member_of_sports_team ?obj . ?obj dbo:member_of_sports_team dbo:member_of_sports_team ]
Who did the Indigenous All Stars initially play in the All Stars Match?,select distinct ?sbj where [ ?sbj wdt:member_of wd:All_Stars_match . ?sbj rdf:instance_of wd:indigenous_All_Stars_match ]
Who did Truman appoint as US Ambassador to Mexico in 1950 and how long did they serve in that role?,select ?obj where [ dbr:Truman dbo:position_held ?obj . ?obj dbo:position_held dbo:US_ambassador_to_Mexico ] order BY DESC(?obj)limit 5
When did Kari Tiainen win the International Six Days Enduro (ISDE) World Trophy for Finland?,select ?value where [ dbr:kari_tiainen p:award_received ?value ]
"How long did C. W. Martin serve as coach for North Carolina, what were the years, and what was his overall record?",select ?value where [ dbr:C._W._Martin p:member_of_sports_team ?value ]
What date and region was Sun released via Matador?,select distinct ?uri where [ ?uri dbr:Sun dbo:publication_date ?uri ]
What were Anoop's first four films?,select distinct ?uri where [ ?uri dbr:Anoop dbo:first_film ?uri ]
