question,sparql,obj_values,error
"which one finds the prevalence of immigrant males to be current smokers is lower, the chms or the cchs?",SELECT distinct ?uri WHERE { ?uri dbr:drug_used_for_treatment ?v1 . ?v1 dbo:prevalence ?uri },empty,
what is the percentage of 2-year-old boys had immunization coverage for tetaunus?,SELECT distinct ?uri WHERE { ?uri dbr:Tetaunus ?v1 . ?v1 dbo:vaccine_vaccine ?uri },empty,
what percentage did the total amount of donations made in 2004 come from primary donors?,SELECT distinct ?uri WHERE { ?uri dbr:total_donations_made_in_2004 dbo:from_primary_donner },empty,
"in 1941, at age 65, how many years could women expect to live ?",SELECT ?obj WHERE { dbr:Frauen dbo:date_of_birth ?obj . ?obj dbo:date_of_birth ?obj },empty,
what is the percentage of the youth who participated in rj in nova scotia did not have any further contact as youth with rj in nova scotia?,SELECT ?value WHERE { dbr:Rj_in_nova_scotia dbo:participant ?value },empty,
what was the proportion of immigrant women that were young female non-stem degree holders?,SELECT distinct ?uri WHERE { ?uri dbr:Q22929 ?v1 . ?v1 dbo:participant ?uri },empty,
"similar to previous years, what was the rate of the most common criminal offences committed by youth in 2019 in level 1 assault?",SELECT ?ent WHERE { ?ent dbo:instance_of ?v1 . ?v1 dbo:instance_of ?ent . ?ent dbo:instance_of ?v2 . ?v2 dbo:instance_of_criminal_infraction ?obj } ORDER BY DESC(?obj) LIMIT 5,empty,
what was the prevalence of disability in yukon?,SELECT distinct ?uri WHERE { ?uri dbr:Disabilities ?v1 . ?v1 dbo:prevalence ?uri },empty,
what is the initial earnings gap of ce immigrants in 1991 cohort when the sociodemographic control variables are added for model 2?,SELECT ?obj WHERE { dbr:ce_immigrants dbo:inception_event ?obj . ?obj dbo:inception_event ?v1 . ?v1 dbo:inception_inception ?obj } ORDER BY DESC(?obj) LIMIT 5,empty,
how many receiving yards did lamark brown get in 2009?,SELECT ?obj WHERE { dbr:lamark_brown dbo:received_in ?v1 . ?v1 2009 ?obj } ORDER BY DESC(?obj) LIMIT 5,,"HTTP 400: Virtuoso 37000 Error SP030: SPARQL compiler, line 2: syntax error at '2009' before '?obj'  SPARQL query: #output-format:application/sparql-results+json SELECT ?obj WHERE { dbr:lama…"
"in 2014, what is the benefit rate that witb taxpayers would give for every dollar earned above $3,000?",SELECT ?obj WHERE { dbr:witb_taxon dbo:benefit_rate ?obj . ?obj dbo:income_rate ?obj },empty,
what is the range of annual industry-level variation that granular shocks can explain?,SELECT distinct ?uri WHERE { ?uri dbr:granular_shocks ?v1 . ?v1 dbo:variation ?uri },empty,
how many appearances did emanuel molina make for atletico tucuman and then moved to the argentine primera division in the 2016 season?,SELECT ?obj WHERE { dbr:emanuel_mollina dbo:present_in_work ?obj . ?obj dbo:present_in_work dbo:atletico_tucuman },empty,
which characteristics of men cohort were slightly underrepresented among all the characteristics?,SELECT distinct ?uri WHERE { ?uri dbr:type dbo:type dbo:significantly_underrepresented ?uri },,"HTTP 400: Virtuoso 37000 Error SP030: SPARQL compiler, line 2: syntax error at 'dbo:significantly_underrepresented' before '?uri'  SPARQL query: #output-format:application/sparql-results+jso…"
how many cdsa violations police reported in 2013?,SELECT distinct ?uri WHERE { ?uri dbr:Cdsa_Infractions_police ?v1 . ?v1 dbo:reported ?uri },empty,
"in 2012, how many interception yards did chris harris jr. have?",SELECT ?obj WHERE { dbr:chris_harris_jr . dbo:interception_yard ?obj ?v1 . ?obj dbo:interception_yard ?obj } ORDER BY DESC(?obj) LIMIT 5,,"HTTP 400: Virtuoso 37000 Error SP030: SPARQL compiler, line 2: syntax error at '.' before 'dbo:interception_yard'  SPARQL query: #output-format:application/sparql-results+json SELECT ?obj WH…"
"what were the percentages of physical assaults (levels 1, 2, and 3) classified as unfounded in 2016 and 2017 respectively?",SELECT ?value WHERE { dbr:physical_agression dbo:proportion ?value },empty,
what was the median debt-to-asset ratio for families whose major income earner was aged 35 to 44 in 2012?,SELECT ?obj WHERE { dbr:family dbo:median_debt-to-asset_ratio ?obj . ?obj dbo:major_income_advanced ?obj } ORDER BY DESC(?obj) LIMIT 5,empty,
"among all degree level, which degree holders did the worse job?",SELECT distinct ?sbj WHERE { ?sbj wdt:degree_level wd:Q25959 },,"HTTP 400: Virtuoso 37000 Error SP030: SPARQL compiler, line 2: Undefined namespace prefix in prefix:localpart notation at 'wdt:degree_level' before 'wd:Q25959'  SPARQL query: #output-format:…"
what was the proportion of homelessness support sector workers that reported studying social and behavioural sciences and law?,SELECT distinct ?uri WHERE { ?uri dbr:employment_support_sector ?v1 . ?v1 dbo:proportion ?uri },empty,
